epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.2212,1.76432,3.36916,1.84998,0.23594,0.44541,0.26844,0.10811,2.05213,3.98434,2.14643,0.000332347,0.000332347,0.000332347
2,138.21,1.7417,2.58277,1.82268,0.55792,0.42705,0.38905,0.17086,1.92274,2.90705,2.07943,0.00065909,0.00065909,0.00065909
3,204.7,1.74006,2.44995,1.8457,0.52012,0.39026,0.31297,0.12681,2.12828,3.94321,2.22397,0.000979233,0.000979233,0.000979233
4,270.448,1.69664,2.27266,1.7992,0.50392,0.50551,0.46596,0.20293,1.80167,2.74684,1.97634,0.0009703,0.0009703,0.0009703
5,336.171,1.65365,2.16084,1.76749,0.61896,0.4674,0.50733,0.23684,1.78292,2.37452,1.95539,0.0009604,0.0009604,0.0009604
6,402.063,1.61714,2.04662,1.72633,0.68148,0.49779,0.5531,0.26187,1.69728,2.02228,1.87397,0.0009505,0.0009505,0.0009505
7,467.493,1.60063,1.97194,1.71605,0.57969,0.51315,0.52498,0.2323,1.74709,2.08921,1.90797,0.0009406,0.0009406,0.0009406
8,532.944,1.56531,1.90503,1.7079,0.72809,0.49427,0.60748,0.30216,1.65477,1.84886,1.83243,0.0009307,0.0009307,0.0009307
9,599.592,1.56688,1.86473,1.68828,0.41117,0.57911,0.48935,0.23414,1.7098,1.99802,1.89192,0.0009208,0.0009208,0.0009208
10,665.313,1.52177,1.81837,1.63746,0.47353,0.62684,0.5655,0.28987,1.65171,1.79007,1.79814,0.0009109,0.0009109,0.0009109
11,730.496,1.53977,1.77161,1.66844,0.51732,0.56407,0.5676,0.28133,1.70125,1.79189,1.91624,0.000901,0.000901,0.000901
12,795.603,1.51602,1.73185,1.6656,0.4644,0.65135,0.60921,0.2824,1.6915,1.81941,1.88392,0.0008911,0.0008911,0.0008911
13,860.874,1.50877,1.71686,1.63639,0.70557,0.52661,0.5998,0.29333,1.69254,1.67648,1.82725,0.0008812,0.0008812,0.0008812
14,926.545,1.50747,1.70767,1.65125,0.55222,0.6088,0.6288,0.31537,1.67308,1.64782,1.84597,0.0008713,0.0008713,0.0008713
15,992.081,1.47652,1.694,1.62969,0.53119,0.60545,0.62474,0.29536,1.6698,1.73081,1.85098,0.0008614,0.0008614,0.0008614
16,1060.38,1.48638,1.69968,1.63517,0.5763,0.61522,0.59792,0.27968,1.73689,1.70642,1.85282,0.0008515,0.0008515,0.0008515
17,1125.9,1.48123,1.6676,1.63145,0.5984,0.62473,0.65302,0.31062,1.63531,1.59397,1.85321,0.0008416,0.0008416,0.0008416
18,1189.33,1.48605,1.64432,1.63709,0.61988,0.61477,0.64056,0.31178,1.68166,1.58897,1.8197,0.0008317,0.0008317,0.0008317
19,1251.43,1.44483,1.59382,1.60537,0.55338,0.64427,0.60942,0.32056,1.67098,1.59725,1.83141,0.0008218,0.0008218,0.0008218
20,1314.15,1.47975,1.62251,1.6293,0.52695,0.68347,0.66393,0.34583,1.60214,1.52566,1.83824,0.0008119,0.0008119,0.0008119
21,1376.45,1.45737,1.61115,1.61599,0.61292,0.61804,0.65138,0.34013,1.57865,1.58611,1.77056,0.000802,0.000802,0.000802
22,1441.21,1.45606,1.61424,1.60555,0.59577,0.65798,0.65161,0.33204,1.6036,1.53097,1.78035,0.0007921,0.0007921,0.0007921
23,1506.01,1.44,1.53781,1.58645,0.56309,0.63618,0.65263,0.32839,1.62988,1.51266,1.74438,0.0007822,0.0007822,0.0007822
24,1571.39,1.43618,1.54161,1.59885,0.59946,0.66131,0.67079,0.34928,1.58608,1.4732,1.73976,0.0007723,0.0007723,0.0007723
25,1638.69,1.4374,1.50815,1.57645,0.54637,0.69025,0.68497,0.35087,1.58666,1.44338,1.72267,0.0007624,0.0007624,0.0007624
26,1705.42,1.42308,1.51733,1.58518,0.6508,0.69639,0.70839,0.36822,1.58951,1.44707,1.73411,0.0007525,0.0007525,0.0007525
27,1770.17,1.4384,1.48849,1.57582,0.58499,0.6382,0.6538,0.32363,1.67793,1.52411,1.78408,0.0007426,0.0007426,0.0007426
28,1832.6,1.42908,1.4961,1.58396,0.63086,0.65421,0.69965,0.37744,1.51558,1.4057,1.67277,0.0007327,0.0007327,0.0007327
29,1895.02,1.38452,1.4542,1.55673,0.58088,0.65151,0.68922,0.35638,1.63833,1.466,1.76649,0.0007228,0.0007228,0.0007228
30,1961.08,1.38554,1.47948,1.55817,0.59143,0.7062,0.69457,0.37139,1.53866,1.36987,1.67994,0.0007129,0.0007129,0.0007129
31,2026.81,1.39607,1.45443,1.5534,0.60101,0.66074,0.67261,0.35878,1.56725,1.46304,1.74433,0.000703,0.000703,0.000703
32,2092.12,1.39709,1.48026,1.5736,0.61449,0.64844,0.67723,0.35797,1.57769,1.43956,1.73803,0.0006931,0.0006931,0.0006931
33,2157.47,1.4115,1.49148,1.5654,0.60434,0.67934,0.70674,0.36558,1.54765,1.419,1.72586,0.0006832,0.0006832,0.0006832
34,2222.84,1.40895,1.44865,1.5654,0.59722,0.66267,0.69125,0.36945,1.55423,1.37678,1.71453,0.0006733,0.0006733,0.0006733
35,2290.11,1.38354,1.43744,1.5491,0.63676,0.68629,0.72143,0.39013,1.52934,1.37234,1.68876,0.0006634,0.0006634,0.0006634
36,2356.14,1.38413,1.44217,1.53907,0.69452,0.63162,0.71477,0.385,1.56433,1.39954,1.71226,0.0006535,0.0006535,0.0006535
37,2421.56,1.36216,1.39093,1.52393,0.57169,0.65649,0.68302,0.37476,1.54564,1.41749,1.68639,0.0006436,0.0006436,0.0006436
38,2486.78,1.36882,1.40194,1.53397,0.64858,0.65634,0.7004,0.36875,1.53034,1.38586,1.67143,0.0006337,0.0006337,0.0006337
39,2552.21,1.37648,1.40819,1.54476,0.58252,0.69639,0.68607,0.3695,1.57294,1.40309,1.70247,0.0006238,0.0006238,0.0006238
40,2617.98,1.38576,1.39572,1.54514,0.63098,0.65673,0.68887,0.37315,1.53796,1.3648,1.69642,0.0006139,0.0006139,0.0006139
41,2684.01,1.36366,1.39076,1.53533,0.63098,0.7046,0.71202,0.37378,1.55721,1.36938,1.70929,0.000604,0.000604,0.000604
42,2750.06,1.35203,1.37988,1.52443,0.76807,0.60499,0.70099,0.37812,1.53754,1.37417,1.69404,0.0005941,0.0005941,0.0005941
43,2816.34,1.35776,1.38245,1.52919,0.61698,0.67165,0.70377,0.39016,1.51557,1.34551,1.69526,0.0005842,0.0005842,0.0005842
44,2881.43,1.35678,1.37848,1.53834,0.68154,0.64238,0.69514,0.37398,1.56143,1.38678,1.74706,0.0005743,0.0005743,0.0005743
45,2944.97,1.33243,1.34279,1.51643,0.63233,0.67107,0.68475,0.37978,1.5636,1.3391,1.71002,0.0005644,0.0005644,0.0005644
46,3009.75,1.3713,1.38097,1.53251,0.6279,0.67009,0.70594,0.38509,1.54391,1.34394,1.7177,0.0005545,0.0005545,0.0005545
47,3074.13,1.31943,1.35283,1.50261,0.65049,0.67576,0.71658,0.39057,1.55526,1.31191,1.68758,0.0005446,0.0005446,0.0005446
48,3137.7,1.33511,1.33644,1.51267,0.60419,0.71118,0.71362,0.39885,1.55037,1.3239,1.71389,0.0005347,0.0005347,0.0005347
49,3202.15,1.34083,1.35001,1.50976,0.60893,0.70777,0.71542,0.39143,1.52774,1.31006,1.70139,0.0005248,0.0005248,0.0005248
50,3265.78,1.33712,1.32401,1.51132,0.65979,0.68003,0.70429,0.39175,1.51706,1.35149,1.67214,0.0005149,0.0005149,0.0005149
51,3328.59,1.34183,1.32134,1.52049,0.67424,0.68549,0.71613,0.39929,1.51906,1.30292,1.65627,0.000505,0.000505,0.000505
52,3392.24,1.31159,1.3026,1.50017,0.6459,0.69111,0.72316,0.40092,1.50235,1.27366,1.64482,0.0004951,0.0004951,0.0004951
53,3455.22,1.32121,1.31326,1.49559,0.61795,0.67996,0.69995,0.3823,1.5408,1.35648,1.66639,0.0004852,0.0004852,0.0004852
54,3518.53,1.3172,1.28718,1.49582,0.66546,0.71245,0.73312,0.4019,1.51311,1.27853,1.6604,0.0004753,0.0004753,0.0004753
55,3582.02,1.31234,1.30149,1.49472,0.65996,0.69659,0.72317,0.39571,1.53672,1.28437,1.70309,0.0004654,0.0004654,0.0004654
